latitude,longitude,altitude,geometry,@id,name,name:en,opening_hours,shop,created_by,operator,addr:housenumber,addr:postcode,addr:street,phone,website,addr:city,addr:country,addr:housename,addr:street:en,check_date:opening_hours,level,wheelchair,name:mk,payment:coins,payment:credit_cards,payment:maestro,payment:mastercard,payment:notes,payment:visa,payment:visa_electron,addr:suburb,image,brand:wikidata,name:sq,internet_access,email,int_name,addr:city:en,organic,surveillance,surveillance:type,payment:cash,name:fr,payment:debit_cards,payment:cards,name:de,fixme,amenity,brand
41.9919017,21.4266878,,Point,node/309879651,Рамстор,Ramstore Supermarket,Mo-Su 08:00-22:00,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0068279,21.3649348,,Point,node/364985725,SP Planet,,,supermarket,Potlatch 0.10f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.006382,21.3829246,,Point,node/367666001,,,,supermarket,,Tinex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0070862,21.3634616,,Point,node/375645834,Тинекс Ѓорче Петров,,Mo-Sa 08:00-22:00; Su 08:00-20:00,supermarket,,TINEX,10,1000,Булевар Ѓорче Петров,+389 2 2045680,http://tinex.com.mk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.9993948,21.4394478,,Point,node/416404340,,,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.9897519,21.4548174,,Point,node/416417027,Тинекс,,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.9845218,21.4688286,,Point,node/446388134,Веро,,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.9947502,21.4345769,,Point,node/459669395,Веро 7,Vero 7,08:00-22:00,supermarket,,Веро,,1000,Кеј 13 Ноември,+389 2 3232640,https://vero.com.mk/Marketi/Vero7,Cкoпje,MK,Gradski Trgovski Centar (GTC),Kej 13 Noemvri,2021-03-04,-1,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.9925332,21.4370214,,Point,node/470599988,Tinex,,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.9903083,21.411176,,Point,node/470616644,Tinex,,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.9368193,21.5224241,,Point,node/471353305,,,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.938954,21.5163515,,Point,node/471353312,,,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.9323179,21.5212225,,Point,node/471354190,,,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.9801204,21.4752382,,Point,node/569629582,Рептил Маркет,Reptil Market,,supermarket,,,бб,1000,Булевар Видое Смилевски Бато,,,Skopje,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0197651,21.4350123,,Point,node/577538728,Prince,,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.9866616,21.4675141,,Point,node/933483954,Жито Маркет,Zhito Market,,supermarket,,Тедико,,,,,,,,,,,,,Жито Маркет,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0046326,21.5033827,,Point,node/1263404485,Жито Маркет,,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.9813069,21.4383256,,Point,node/1381585160,Рептил,,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.9798044,21.4752182,,Point,node/1609094328,КАМ Маркет,,,supermarket,,,бб,1000,Булевар Видое Смилевски Бато,,,Cкoпje,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.9794894,21.4764231,,Point,node/1609098405,Рамстор,,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0034268,21.3989021,,Point,node/1615844916,КОСМО Тинекс,,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0076504,21.3396463,,Point,node/1734513499,Жито маркет,,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.9810056,21.4323628,,Point,node/1793209848,Кам Маркет,,,supermarket,,КАМ,,,,,,,,,,,,,,yes,yes,yes,yes,yes,yes,yes,,,,,,,,,,,,,,,,,,,
42.0528304,21.449974,,Point,node/1850351715,Орашец,,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.988882,21.4282537,,Point,node/1851607184,Кам Маркет,,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0026311,21.4623331,,Point,node/1860365652,КАМ Маркет,,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.9930392,21.4414652,,Point,node/1860365681,Веро 9,Vero 9,09:00-22:00,supermarket,,Веро,1,1000,Koco Racin,+389 2 3088400,https://vero.com.mk/Marketi/Vero9,Cкoпje,MK,,,,,yes,,,,,,,,,Centar,http://www.vero.com.mk/Marketi/Images/9,,,,,,,,,,,,,,,,,
42.0048803,21.3922837,,Point,node/2000505737,Ramstore,,08:00-22:00,supermarket,,,,1000,Љубљанска,,http://ramstore.com.mk,Skopje,,Skopje City Mall,Ljubljanska,,0,,,,,,,,,,,,Q2130436,City Mall,,,,,,,,,,,,,,,
41.9973587,21.483821,,Point,node/2174953768,Електрометал,Elektrometal,Mo-Sa 08:00-21:00,supermarket,,,,1000,Перо Наков,,http://www.elektroelement.com.mk,,,,,,,,,,,,,,,,,,,,wlan,,,,,,,,,,,,,,
42.0022775,21.3762625,,Point,node/2297036326,Tinex,,,supermarket,,Tinex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0197432,21.356581,,Point,node/2395103183,Market Kiki,,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.9394701,21.513671,,Point,node/2459550501,Tinex Discount,,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.9384385,21.5187223,,Point,node/2459775710,Кам маркет,,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.9370886,21.5230194,,Point,node/2459788307,Вајота 2,,Mo-Su 07:00-22:00,supermarket,,,157,1000,Иван Хаџиниколов,,,,,,,,,,,,,,,,,,,,,,,vajota@yahoo.com,,,,,,,,,,,,,
41.9382051,21.5073363,,Point,node/2459829020,Гиго Трејд,,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.9384126,21.5071218,,Point,node/2459829098,Кам,,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.974857,21.4533122,,Point,node/2882345348,Супер Тинекс,Super Tinex,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Super Tineks,,,,,,,,,,,,
41.9844445,21.4838698,,Point,node/2882345397,Рамстор,,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.9761138,21.4326551,,Point,node/2883369103,,,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.9839638,21.4649937,,Point,node/2883879847,Пазарче,,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.9720378,21.4722684,,Point,node/2884502076,ЗУР Маркет,,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.993327,21.441556,,Point,node/3428974493,DM,,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.9938931,21.4010606,,Point,node/3506695094,Кам маркет Козле,Kam Market Kozle,Mo-Sa 08:00-22:00,supermarket,,,53,1000,Козле,+389 2 3085233,http://www.kam.com.mk,Скопје,,,Kosle,,,yes,,,,,,,,,,,,,,,,Skopje,,,,,,,,,,,
42.0050579,21.3831193,,Point,node/3614132047,Фреш маркет Бојди,,,supermarket,,,,1000,Булевар Партизански Одреди,,,Скопје,,,,,,,,,,,,,,,,,,,,,,,only,,,,,,,,,,
42.0017143,21.3914204,,Point,node/3635145515,Кам маркет Тафталиџе,Kam Market Taftalidze,Mo-Sa 07:30-21:30; Su 07:30-16:00,supermarket,,,бб,1000,Лондонска,+389 2 3074733,http://www.kam.com.mk,Скопје,,,Londonska,,,yes,,,,,,,,,,,,,,,,Skopje,,indoor,camera,,,,,,,,
42.0035081,21.4152599,,Point,node/3663767993,Рептил маркет,Reptil Market,07:00 - 21:30,supermarket,,,,1000,,,,Cкoпje,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.9823773,21.4403011,,Point,node/3787515284,Веро,Vero,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0248127,21.4416628,,Point,node/3932076509,Кам Маркет,,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.9948735,21.4207815,,Point,node/4151705280,Веро 5,Vero 5,08:00-22:00; May 01 off,supermarket,,Веро,,,,+389 2 3220244,https://vero.com.mk/Marketi/Vero5,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
